Broker,Date,Value
REAL Broker,Apr-30-2019,
REAL Broker,May-31-2019,
REAL Broker,Jun-30-2019,
REAL Broker,Jul-31-2019,
REAL Broker,Aug-31-2019,
REAL Broker,Sep-30-2019,
REAL Broker,Oct-31-2019,
REAL Broker,Nov-30-2019,
REAL Broker,Dec-31-2019,
REAL Broker,Jan-31-2018,
REAL Broker,Feb-28-2018,
REAL Broker,Mar-31-2018,
REAL Broker,Apr-30-2018,
REAL Broker,May-31-2018,
REAL Broker,Jun-30-2018,
REAL Broker,Jul-31-2018,
REAL Broker,Aug-31-2018,
REAL Broker,Sep-30-2018,
REAL Broker,Oct-31-2018,
REAL Broker,Nov-30-2018,
REAL Broker,Dec-31-2018,
REAL Broker,Jan-31-2017,
MaxWell Polaris,Jan-31-2024,360.0
MaxWell Polaris,Feb-29-2024,357.0
MaxWell Polaris,Mar-31-2024,354.0
MaxWell Polaris,Apr-30-2024,351.0
MaxWell Polaris,May-31-2024,347.0
MaxWell Polaris,Jun-30-2024,349.0
MaxWell Polaris,Jul-31-2024,338.0
MaxWell Polaris,Aug-31-2024,332.0
MaxWell Polaris,Sep-30-2024,326.0
MaxWell Polaris,Oct-31-2024,320.0
MaxWell Polaris,Nov-30-2024,320.0
MaxWell Polaris,Dec-31-2024,319.0
MaxWell Polaris,Jan-31-2023,318.0
MaxWell Polaris,Feb-28-2023,319.0
MaxWell Polaris,Mar-31-2023,316.0
MaxWell Polaris,Apr-30-2023,312.0
MaxWell Polaris,May-31-2023,314.0
MaxWell Polaris,Jun-30-2023,314.0
MaxWell Polaris,Jul-31-2023,315.0
MaxWell Polaris,Aug-31-2023,312.0
MaxWell Polaris,Sep-30-2023,308.0
MaxWell Polaris,Oct-31-2023,314.0
MaxWell Polaris,Nov-30-2023,318.0
MaxWell Polaris,Dec-31-2023,316.0
MaxWell Polaris,Jan-31-2022,320.0
MaxWell Polaris,Feb-28-2022,317.0
MaxWell Polaris,Mar-31-2022,305.0
MaxWell Polaris,Apr-30-2022,304.0
MaxWell Polaris,May-31-2022,304.0
MaxWell Polaris,Jun-30-2022,306.0
MaxWell Polaris,Jul-31-2022,297.0
MaxWell Polaris,Aug-31-2022,298.0
MaxWell Polaris,Sep-30-2022,282.0
MaxWell Polaris,Oct-31-2022,285.0
MaxWell Polaris,Nov-30-2022,285.0
MaxWell Polaris,Dec-31-2022,276.0
MaxWell Polaris,Jan-31-2021,276.0
MaxWell Polaris,Feb-28-2021,274.0
MaxWell Polaris,Mar-31-2021,268.0
MaxWell Polaris,Apr-30-2021,267.0
MaxWell Polaris,May-31-2021,260.0
MaxWell Polaris,Jun-30-2021,253.0
MaxWell Polaris,Jul-31-2021,245.0
MaxWell Polaris,Aug-31-2021,246.0
MaxWell Polaris,Sep-30-2021,246.0
MaxWell Polaris,Oct-31-2021,244.0
MaxWell Polaris,Nov-30-2021,243.0
MaxWell Polaris,Dec-31-2021,235.0
MaxWell Polaris,Jan-31-2020,240.0
MaxWell Polaris,Feb-29-2020,238.0
MaxWell Polaris,Mar-31-2020,234.0
MaxWell Polaris,Apr-30-2020,234.0
MaxWell Polaris,May-31-2020,236.0
MaxWell Polaris,Jun-30-2020,234.0
MaxWell Polaris,Jul-31-2020,234.0
MaxWell Polaris,Aug-31-2020,232.0
MaxWell Polaris,Sep-30-2020,233.0
MaxWell Polaris,Oct-31-2020,230.0
MaxWell Polaris,Nov-30-2020,227.0
MaxWell Polaris,Dec-31-2020,233.0
MaxWell Polaris,Jan-31-2019,230.0
MaxWell Polaris,Feb-28-2019,226.0
MaxWell Polaris,Mar-31-2019,227.0
MaxWell Polaris,Apr-30-2019,219.0
MaxWell Polaris,May-31-2019,219.0
MaxWell Polaris,Jun-30-2019,226.0
MaxWell Polaris,Jul-31-2019,228.0
MaxWell Polaris,Aug-31-2019,229.0
MaxWell Polaris,Sep-30-2019,233.0
MaxWell Polaris,Oct-31-2019,231.0
MaxWell Polaris,Nov-30-2019,234.0
MaxWell Polaris,Dec-31-2019,236.0
MaxWell Polaris,Jan-31-2018,238.0
MaxWell Polaris,Feb-28-2018,234.0
MaxWell Polaris,Mar-31-2018,228.0
MaxWell Polaris,Apr-30-2018,226.0
MaxWell Polaris,May-31-2018,228.0
MaxWell Polaris,Jun-30-2018,227.0
MaxWell Polaris,Jul-31-2018,229.0
MaxWell Polaris,Aug-31-2018,223.0
MaxWell Polaris,Sep-30-2018,222.0
MaxWell Polaris,Oct-31-2018,226.0
MaxWell Polaris,Nov-30-2018,226.0
MaxWell Polaris,Dec-31-2018,221.0
MaxWell Polaris,Jan-31-2017,215.0
RE/MAX River City,Jan-31-2024,218.0
RE/MAX River City,Feb-29-2024,218.0
RE/MAX River City,Mar-31-2024,216.0
RE/MAX River City,Apr-30-2024,219.0
RE/MAX River City,May-31-2024,224.0
RE/MAX River City,Jun-30-2024,221.0
RE/MAX River City,Jul-31-2024,223.0
RE/MAX River City,Aug-31-2024,221.0
RE/MAX River City,Sep-30-2024,217.0
RE/MAX River City,Oct-31-2024,220.0
RE/MAX River City,Nov-30-2024,217.0
RE/MAX River City,Dec-31-2024,216.0
RE/MAX River City,Jan-31-2023,219.0
RE/MAX River City,Feb-28-2023,220.0
RE/MAX River City,Mar-31-2023,232.0
RE/MAX River City,Apr-30-2023,230.0
RE/MAX River City,May-31-2023,236.0
RE/MAX River City,Jun-30-2023,240.0
RE/MAX River City,Jul-31-2023,245.0
RE/MAX River City,Aug-31-2023,251.0
RE/MAX River City,Sep-30-2023,248.0
RE/MAX River City,Oct-31-2023,263.0
RE/MAX River City,Nov-30-2023,270.0
RE/MAX River City,Dec-31-2023,268.0
RE/MAX River City,Jan-31-2022,266.0
RE/MAX River City,Feb-28-2022,265.0
RE/MAX River City,Mar-31-2022,266.0
RE/MAX River City,Apr-30-2022,268.0
RE/MAX River City,May-31-2022,270.0
RE/MAX River City,Jun-30-2022,265.0
RE/MAX River City,Jul-31-2022,261.0
RE/MAX River City,Aug-31-2022,257.0
RE/MAX River City,Sep-30-2022,252.0
RE/MAX River City,Oct-31-2022,252.0
RE/MAX River City,Nov-30-2022,250.0
RE/MAX River City,Dec-31-2022,244.0
RE/MAX River City,Jan-31-2021,245.0
RE/MAX River City,Feb-28-2021,246.0
RE/MAX River City,Mar-31-2021,242.0
RE/MAX River City,Apr-30-2021,239.0
RE/MAX River City,May-31-2021,239.0
RE/MAX River City,Jun-30-2021,232.0
RE/MAX River City,Jul-31-2021,201.0
RE/MAX River City,Aug-31-2021,149.0
RE/MAX River City,Sep-30-2021,133.0
RE/MAX River City,Oct-31-2021,128.0
RE/MAX River City,Nov-30-2021,127.0
RE/MAX River City,Dec-31-2021,125.0
RE/MAX River City,Jan-31-2020,125.0
RE/MAX River City,Feb-29-2020,126.0
RE/MAX River City,Mar-31-2020,125.0
RE/MAX River City,Apr-30-2020,125.0
RE/MAX River City,May-31-2020,129.0
RE/MAX River City,Jun-30-2020,127.0
RE/MAX River City,Jul-31-2020,125.0
RE/MAX River City,Aug-31-2020,123.0
RE/MAX River City,Sep-30-2020,123.0
RE/MAX River City,Oct-31-2020,123.0
RE/MAX River City,Nov-30-2020,122.0
RE/MAX River City,Dec-31-2020,130.0
RE/MAX River City,Jan-31-2019,130.0
RE/MAX River City,Feb-28-2019,126.0
RE/MAX River City,Mar-31-2019,125.0
RE/MAX River City,Apr-30-2019,123.0
RE/MAX River City,May-31-2019,128.0
RE/MAX River City,Jun-30-2019,129.0
RE/MAX River City,Jul-31-2019,129.0
RE/MAX River City,Aug-31-2019,131.0
RE/MAX River City,Sep-30-2019,150.0
RE/MAX River City,Oct-31-2019,140.0
RE/MAX River City,Nov-30-2019,140.0
RE/MAX River City,Dec-31-2019,138.0
RE/MAX River City,Jan-31-2018,135.0
RE/MAX River City,Feb-28-2018,132.0
RE/MAX River City,Mar-31-2018,132.0
RE/MAX River City,Apr-30-2018,137.0
RE/MAX River City,May-31-2018,139.0
RE/MAX River City,Jun-30-2018,139.0
RE/MAX River City,Jul-31-2018,138.0
RE/MAX River City,Aug-31-2018,139.0
RE/MAX River City,Sep-30-2018,140.0
RE/MAX River City,Oct-31-2018,140.0
RE/MAX River City,Nov-30-2018,135.0
RE/MAX River City,Dec-31-2018,134.0
RE/MAX River City,Jan-31-2017,133.0
RE/MAX Elite,Jan-31-2024,202.0
RE/MAX Elite,Feb-29-2024,200.0
RE/MAX Elite,Mar-31-2024,200.0
RE/MAX Elite,Apr-30-2024,199.0
RE/MAX Elite,May-31-2024,205.0
RE/MAX Elite,Jun-30-2024,207.0
RE/MAX Elite,Jul-31-2024,206.0
RE/MAX Elite,Aug-31-2024,206.0
RE/MAX Elite,Sep-30-2024,201.0
RE/MAX Elite,Oct-31-2024,199.0
RE/MAX Elite,Nov-30-2024,201.0
RE/MAX Elite,Dec-31-2024,201.0
RE/MAX Elite,Jan-31-2023,204.0
RE/MAX Elite,Feb-28-2023,205.0
RE/MAX Elite,Mar-31-2023,213.0
RE/MAX Elite,Apr-30-2023,216.0
RE/MAX Elite,May-31-2023,218.0
RE/MAX Elite,Jun-30-2023,220.0
RE/MAX Elite,Jul-31-2023,221.0
RE/MAX Elite,Aug-31-2023,224.0
RE/MAX Elite,Sep-30-2023,223.0
RE/MAX Elite,Oct-31-2023,224.0
RE/MAX Elite,Nov-30-2023,223.0
RE/MAX Elite,Dec-31-2023,229.0
RE/MAX Elite,Jan-31-2022,228.0
RE/MAX Elite,Feb-28-2022,225.0
RE/MAX Elite,Mar-31-2022,217.0
RE/MAX Elite,Apr-30-2022,222.0
RE/MAX Elite,May-31-2022,219.0
RE/MAX Elite,Jun-30-2022,217.0
RE/MAX Elite,Jul-31-2022,213.0
RE/MAX Elite,Aug-31-2022,210.0
RE/MAX Elite,Sep-30-2022,208.0
RE/MAX Elite,Oct-31-2022,208.0
RE/MAX Elite,Nov-30-2022,210.0
RE/MAX Elite,Dec-31-2022,213.0
RE/MAX Elite,Jan-31-2021,220.0
RE/MAX Elite,Feb-28-2021,220.0
RE/MAX Elite,Mar-31-2021,222.0
RE/MAX Elite,Apr-30-2021,238.0
RE/MAX Elite,May-31-2021,237.0
RE/MAX Elite,Jun-30-2021,234.0
RE/MAX Elite,Jul-31-2021,229.0
RE/MAX Elite,Aug-31-2021,227.0
RE/MAX Elite,Sep-30-2021,227.0
RE/MAX Elite,Oct-31-2021,226.0
RE/MAX Elite,Nov-30-2021,225.0
RE/MAX Elite,Dec-31-2021,225.0
RE/MAX Elite,Jan-31-2020,222.0
RE/MAX Elite,Feb-29-2020,223.0
RE/MAX Elite,Mar-31-2020,221.0
RE/MAX Elite,Apr-30-2020,219.0
RE/MAX Elite,May-31-2020,222.0
RE/MAX Elite,Jun-30-2020,224.0
RE/MAX Elite,Jul-31-2020,226.0
RE/MAX Elite,Aug-31-2020,224.0
RE/MAX Elite,Sep-30-2020,225.0
RE/MAX Elite,Oct-31-2020,225.0
RE/MAX Elite,Nov-30-2020,223.0
RE/MAX Elite,Dec-31-2020,235.0
RE/MAX Elite,Jan-31-2019,207.0
RE/MAX Elite,Feb-28-2019,212.0
RE/MAX Elite,Mar-31-2019,211.0
RE/MAX Elite,Apr-30-2019,211.0
RE/MAX Elite,May-31-2019,211.0
RE/MAX Elite,Jun-30-2019,211.0
RE/MAX Elite,Jul-31-2019,210.0
RE/MAX Elite,Aug-31-2019,213.0
RE/MAX Elite,Sep-30-2019,210.0
RE/MAX Elite,Oct-31-2019,207.0
RE/MAX Elite,Nov-30-2019,207.0
RE/MAX Elite,Dec-31-2019,205.0
RE/MAX Elite,Jan-31-2018,204.0
RE/MAX Elite,Feb-28-2018,202.0
RE/MAX Elite,Mar-31-2018,209.0
RE/MAX Elite,Apr-30-2018,209.0
RE/MAX Elite,May-31-2018,212.0
RE/MAX Elite,Jun-30-2018,213.0
RE/MAX Elite,Jul-31-2018,220.0
RE/MAX Elite,Aug-31-2018,224.0
RE/MAX Elite,Sep-30-2018,233.0
RE/MAX Elite,Oct-31-2018,231.0
RE/MAX Elite,Nov-30-2018,228.0
RE/MAX Elite,Dec-31-2018,228.0
RE/MAX Elite,Jan-31-2017,227.0
Homes & Gardens Real Estate Limited,Jan-31-2024,167.0
Homes & Gardens Real Estate Limited,Feb-29-2024,167.0
Homes & Gardens Real Estate Limited,Mar-31-2024,164.0
Homes & Gardens Real Estate Limited,Apr-30-2024,165.0
Homes & Gardens Real Estate Limited,May-31-2024,167.0
Homes & Gardens Real Estate Limited,Jun-30-2024,167.0
Homes & Gardens Real Estate Limited,Jul-31-2024,168.0
Homes & Gardens Real Estate Limited,Aug-31-2024,168.0
Homes & Gardens Real Estate Limited,Sep-30-2024,162.0
Homes & Gardens Real Estate Limited,Oct-31-2024,164.0
Homes & Gardens Real Estate Limited,Nov-30-2024,172.0
Homes & Gardens Real Estate Limited,Dec-31-2024,173.0
Homes & Gardens Real Estate Limited,Jan-31-2023,172.0
Homes & Gardens Real Estate Limited,Feb-28-2023,173.0
Homes & Gardens Real Estate Limited,Mar-31-2023,172.0
Homes & Gardens Real Estate Limited,Apr-30-2023,172.0
Homes & Gardens Real Estate Limited,May-31-2023,178.0
Homes & Gardens Real Estate Limited,Jun-30-2023,176.0
Homes & Gardens Real Estate Limited,Jul-31-2023,176.0
Homes & Gardens Real Estate Limited,Aug-31-2023,176.0
Homes & Gardens Real Estate Limited,Sep-30-2023,174.0
Homes & Gardens Real Estate Limited,Oct-31-2023,176.0
Homes & Gardens Real Estate Limited,Nov-30-2023,183.0
Homes & Gardens Real Estate Limited,Dec-31-2023,179.0
Homes & Gardens Real Estate Limited,Jan-31-2022,180.0
Homes & Gardens Real Estate Limited,Feb-28-2022,178.0
Homes & Gardens Real Estate Limited,Mar-31-2022,178.0
Homes & Gardens Real Estate Limited,Apr-30-2022,181.0
Homes & Gardens Real Estate Limited,May-31-2022,180.0
Homes & Gardens Real Estate Limited,Jun-30-2022,179.0
Homes & Gardens Real Estate Limited,Jul-31-2022,178.0
Homes & Gardens Real Estate Limited,Aug-31-2022,179.0
Homes & Gardens Real Estate Limited,Sep-30-2022,177.0
Homes & Gardens Real Estate Limited,Oct-31-2022,183.0
Homes & Gardens Real Estate Limited,Nov-30-2022,185.0
Homes & Gardens Real Estate Limited,Dec-31-2022,186.0
Homes & Gardens Real Estate Limited,Jan-31-2021,182.0
Homes & Gardens Real Estate Limited,Feb-28-2021,180.0
Homes & Gardens Real Estate Limited,Mar-31-2021,186.0
Homes & Gardens Real Estate Limited,Apr-30-2021,187.0
Homes & Gardens Real Estate Limited,May-31-2021,186.0
Homes & Gardens Real Estate Limited,Jun-30-2021,186.0
Homes & Gardens Real Estate Limited,Jul-31-2021,185.0
Homes & Gardens Real Estate Limited,Aug-31-2021,197.0
Homes & Gardens Real Estate Limited,Sep-30-2021,197.0
Homes & Gardens Real Estate Limited,Oct-31-2021,196.0
Homes & Gardens Real Estate Limited,Nov-30-2021,195.0
Homes & Gardens Real Estate Limited,Dec-31-2021,193.0
Homes & Gardens Real Estate Limited,Jan-31-2020,197.0
Homes & Gardens Real Estate Limited,Feb-29-2020,197.0
Homes & Gardens Real Estate Limited,Mar-31-2020,196.0
Homes & Gardens Real Estate Limited,Apr-30-2020,192.0
Homes & Gardens Real Estate Limited,May-31-2020,203.0
Homes & Gardens Real Estate Limited,Jun-30-2020,204.0
Homes & Gardens Real Estate Limited,Jul-31-2020,207.0
Homes & Gardens Real Estate Limited,Aug-31-2020,202.0
Homes & Gardens Real Estate Limited,Sep-30-2020,201.0
Homes & Gardens Real Estate Limited,Oct-31-2020,198.0
Homes & Gardens Real Estate Limited,Nov-30-2020,197.0
Homes & Gardens Real Estate Limited,Dec-31-2020,231.0
Homes & Gardens Real Estate Limited,Jan-31-2019,230.0
Homes & Gardens Real Estate Limited,Feb-28-2019,229.0
Homes & Gardens Real Estate Limited,Mar-31-2019,230.0
Homes & Gardens Real Estate Limited,Apr-30-2019,224.0
Homes & Gardens Real Estate Limited,May-31-2019,227.0
Homes & Gardens Real Estate Limited,Jun-30-2019,236.0
Homes & Gardens Real Estate Limited,Jul-31-2019,235.0
Homes & Gardens Real Estate Limited,Aug-31-2019,233.0
Homes & Gardens Real Estate Limited,Sep-30-2019,232.0
Homes & Gardens Real Estate Limited,Oct-31-2019,220.0
